Comment / Item,Quantity,Total Price ($),Link
4.7u,6,0.1368,https://jlcpcb.com/partdetail/24469-CL05A475MP5NRNC/C23733
100n,4,0.0216,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
10uF,4,0.1548,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702
15p,4,0.0188,https://jlcpcb.com/partdetail/1900-0402CG150J500NT/C1548
3.3u,2,1.6456,https://jlcpcb.com/partdetail/KOHERelec-MDA40203R3M/C2847470
1k,4,0.0320,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
33,2,0.0068,https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105
1K,2,0.0120,https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190
10k,2,0.0132,
27 ohm,4,0.0362,
SW_Push,4,3.7180,https://jlcpcb.com/partdetail/Korean_HropartsElec-K5_1672SN01/C502360
RP2350A,2,3.3980,https://jlcpcb.com/partdetail/RaspberryPi-RP2350A/C42411118
MCP1700x-330xxTT,2,1.0314,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700_3002ETO/C185558
ABM8-272-T3,5,1.4705,https://jlcpcb.com/partdetail/AbraconLLC-ABM8_272T3/C20625731
USB_A_PCB_Edge_receptacle,-,-,-
--- CHARGE DETAILS ---,---,---,---
PCB Base Price,-,2.00,-
Via Covering,-,0.00,-
Special Offer,-,2.00,-
Setup Fee,-,8.18,-
Stencil,-,1.53,-
Panel,-,0.00,-
Large Size,-,0.00,-
Components (12 items),-,11.65,-
Extended components fee,-,12.28,-
SMT Assembly,-,0.38,-
Hand-soldering labor fee,-,3.58,-
Manual Assembly,-,0.10,-
Nitrogen reflow soldering,-,0.85,-
PCB Price Total,-,2.00,-
  PCB Shipping ,-,9.68,-
Economic PCBA Price Total,-,48.23,-
Grand Total,-,50.23,-
