Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,4.7u,
"C13, C14",0603,2,10uF,
"C29, C30",0402,2,15p,
"C4, C5",0402,2,100n,
D1,0201,1,LED,
J1,USB_A_PCB_Edge_receptacle,1,USB_A_PCB_Edge_receptacle,
L1,0402,1,3.3u,
"R1, R2",0402,2,1k,
R11,0603,1,1K,
R3,0402,1,33,
"SW10, SW11, SW12, SW13, SW14",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,5,SW_Push,
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,
U3,SOT-23,1,MCP1700x-330xxTT,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
