Designator,Mid X,Mid Y,Rotation,Layer
C1,57.43,-16.44,90.0,top
C13,46.715,-20.2,0.0,top
C14,41.26,-21.565,90.0,top
C2,55.04,-15.75,0.0,top
C29,45.47,-25.71,270.0,top
C3,57.36,-18.13,0.0,top
C30,40.06,-25.03,90.0,top
C4,51.24,-15.98,0.0,top
C5,51.24,-17.05,0.0,top
D1,46.74,-22.84,0.0,top
J1,27.1,-20.91,0.0,top
L1,55.1225,-16.99,0.0,top
R1,49.73,-16.68,90.0,top
R11,36.495,-23.99,0.0,top
R2,47.5,-25.84,90.0,top
R3,59.25,-16.23,270.0,top
SW10,59.54,-21.97,270.0,top
SW11,63.9,-21.98,270.0,top
SW12,68.39,-21.995,270.0,top
SW13,72.85,-22.0,270.0,top
SW14,44.375,-17.26,0.0,top
U1,52.5,-21.93,90.0,top
U3,44.0325,-21.56,180.0,top
Y2,42.82,-25.07,0.0,top
